32 3363.99 2864.95
48 5188.07 4598.99
64 6712.82 5813.11
96 10547.7 8475.44
128 13403.1 11896.6
192 19878.9 16437.2
256 28636.9 25935
384 43005.9 38884.5
512 56775.3 46045.3
768 84993.4 71573
1024 110859 97945.5
1536 167084 134956
2048 211899 181343
3072 317634 296879
4096 429891 389572
6144 621894 550000
8192 829066 688085
12288 1.20311e+06 1.07829e+06
16384 1.3967e+06 1.30537e+06
24576 2.02873e+06 1.88508e+06
32768 2.57853e+06 2.413e+06
