32 345.699 382.492
48 2642.37
64 3494.69 2395.52
96 5399.33 4679.94
128 7025.05 6467.87
192 10749.7 9730.8
256 14102.4 12738.3
384 21797.1 19894.9
512 27993.4 24984.2
768 42861.9 38739.4
1024 54058.3 48132.8
1536 80303.2 70916.4
2048 102002 91292.5
3072 144653 124997
4096 182747 162265
6144 247199 219195
8192 287257 235123
12288 383778 322750
16384 380948 308701
24576 485413 366208
32768 585854 510001
49152 460108 472286
65536 498703 458700
98304 517240 478896
131072 471041 390973
196608 640006 625337
262144 687208
393216 714408 683147
524288 728778
